time,open,high,low,close,VWAP,Upper Band,Lower Band,Volume,Volume MA,Plot,Plot,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band
1635058800,193.1175,195.5,192.565,194.135,195.68183630061256,197.40708823047794,193.95658437074718,5696675.7404,6799643.947244987,-3.078195535714011,0,41.678513579487074,44.39717192913518,NaN,NaN
1635062400,194.135,194.9,193.05,193.6775,195.53438673804266,197.26008482255133,193.80868865353398,3937765.514225,6711742.549059987,-2.8490526785711427,0,40.562931473681246,44.31054381355171,NaN,NaN
1635066000,193.6775,196.3825,193.38,194.1275,195.40956831785465,197.04184486191647,193.77729177379283,7722347.184725,6627514.534022487,-2.627697321428285,0,42.20167382562863,44.50480679094544,NaN,NaN
1635069600,194.1275,195.665,193.815,193.9675,195.36607692330443,196.9716184561295,193.76053539047936,2754125.9387,6194545.590498737,-2.5366776785711367,0,41.76080005787276,44.26784793555651,NaN,NaN
1635073200,193.9675,194.2775,188.7,188.845,194.17961149493203,196.664210354089,191.69501263577507,19499446.49035,6730416.398572487,-3.003576785713993,0,30.702188865995467,43.256023426538086,NaN,NaN
1635076800,188.845,191.0975,187.185,190.955,193.40330801770244,196.2196318787457,190.58698415665918,16599480.3434,6986970.9693112355,-2.924593749999711,0,37.986720736937926,42.68730500231961,NaN,NaN
1635080400,190.955,192.555,190.2475,190.255,193.2699733955858,196.0607091944133,190.47923759675828,5616188.171475,6936484.859328737,-3.1898026785711426,0,36.61172122010323,41.793249144485756,NaN,NaN
1635084000,190.255,190.5975,187.555,188.29,193.00002442417653,195.90628257550335,190.0937662728497,6476314.44865,6662461.502929986,-3.816661607142579,0,33.000602185734834,40.74334741013491,NaN,NaN
1635087600,188.29,189,185.5,186.6075,192.42353345712075,195.70009949228313,189.14696742195838,11438305.3707,6868155.699048737,-4.751340178571159,0,30.24943997236697,39.36157099888955,NaN,NaN
1635091200,186.6075,191.005,185.35,190.86,192.098546816037,195.36636908469566,188.8307245473783,12705478.150575,7290531.390756237,-4.630908928571159,0,43.14976203363133,39.09502933366452,NaN,NaN
1635094800,190.86,191.3775,189.14,189.2725,192.0202156038979,195.25389183387645,188.78653937391934,4910842.62385,7293134.211239988,-4.797635714285443,0,40.16343223392492,38.64210782166852,NaN,NaN
1635098400,189.2725,189.415,186.4,188.115,191.85525207992586,195.12173177424435,188.58877238560737,5782352.1585,7355016.179989988,-5.077874999999729,0,38.09329176600353,38.219632575318634,NaN,NaN
1635102000,188.115,191.875,188.025,191.6475,191.77505049680596,194.95812922824487,188.59197176536705,9027377.8804,7538154.918656237,-4.504317857142586,0,47.061160928764195,38.67062513343607,NaN,NaN
1635105600,191.6475,194.075,190.56,193.82,191.83947683332008,194.9329164697077,188.74603719693246,9922919.35495,7620664.058589987,-3.469654464285444,0,51.69563276203418,39.6369908315833,NaN,NaN
1635109200,193.82,199.9525,193.8125,199.7625,192.45119886178745,195.89970658358615,189.00269113998874,18232180.728,8345793.911862487,-1.328334821428308,0,61.59862969246903,41.05985626822486,NaN,NaN
1635112800,199.7625,204.795,199.7625,202.0625,193.5738042193334,198.06991518438477,189.07769325428202,23266272.2677,9204236.535404986,0.7853017857145481,0,64.62177880661005,42.77834536343406,NaN,NaN
1635116400,202.0625,204.2875,201,202.2875,193.91409851657565,198.64450524119837,189.18369179195292,7990130.0126,9493476.056968737,2.7764241071431197,0,64.91278425466803,44.40056753693688,NaN,NaN
1635120000,202.2875,203,198.1725,202.705,201.2925,201.2925026973983,201.29249730260167,26221643.3632,10592507.354606237,4.595311607143122,0,65.48018799422744,46.094809532390784,NaN,NaN
1635123600,202.715,203.8625,198.435,200.8625,201.2169280406149,201.32811784491403,201.10573823631577,12112989.4737,11030089.014243735,5.776927678571696,0,60.806807025082456,48.245139400897,NaN,NaN
1635127200,200.8625,201.25,198.2,200.33,200.99163907685903,201.4917700636894,200.49150809002867,8109477.41475,10901115.631542485,6.604856250000268,0,59.485424282400416,49.78076108271575,NaN,NaN
1635130800,200.33,203.235,199.835,201.695,201.08628846946246,201.59419863092887,200.57837830799605,8756003.978275,11054082.043436237,7.632883928571694,0,61.77831812267173,51.57837514718493,NaN,NaN
1635134400,201.695,204,200.9175,203.35,201.27934922535604,201.995723945462,200.56297450525008,7217805.949325,11218084.065191235,8.782418750000264,0,64.40840522003293,53.82178964963479,NaN,NaN
1635138000,203.35,208.3575,202.5,207.8825,202.26317894955938,204.3441938738521,200.18216402526664,15415788.7651,11602756.144209987,10.441766964285979,0,70.41302370663067,56.690617059225055,NaN,NaN
1635141600,207.8825,210.7,206.5625,209,203.1907270277643,206.16934150468222,200.21211255084637,12976595.745925,12113879.634571237,11.923987500000266,0,71.68155664928749,58.72860238891478,NaN,NaN
1635145200,209,209.2175,206.67,207.7675,203.5513049813485,206.67433062761756,200.42827933507942,7555721.777525,11516693.398929987,12.488545535714554,0,68.2081052151056,60.731793316141975,NaN,NaN
1635148800,207.7675,212.5825,207.2225,211.9775,204.4197693130745,208.14976159538165,200.68977703076737,13835744.6968,11378506.616599988,13.724153571428833,0,73.0177388454569,63.226396678960064,NaN,NaN
